arameter,Description
id,The station ID
name,The station name
country,The station country
state,The station state
region,The station region
longitude,The station longitude
latitude,The station latitude
date,The date
temp_avg,The average air temperature in °C
temp_min,The minimum air temperature in °C
temp_max,The maximum air temperature in °C
precip,The daily precipitation total in millimeters (mm)
snow,The maximum snow depth in millimeters (mm)
wind_dir,The average wind direction in degrees (°)
wind_speed,The average wind speed in km/h
air_press,The average sea-level air pressure in hPa
